epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3382.15,1.25913,0.63604,0.92305,0.89234,0.63636,0.75585,0.37805,1.56481,0.72958,0.92817,0.0009055,0.0009055,0.0009055
57,3440.18,1.23589,0.62184,0.91048,0.8518,0.71123,0.77032,0.41374,1.44065,0.69225,0.89646,0.0008856,0.0008856,0.0008856
58,3496.9,1.25425,0.64642,0.91183,0.83527,0.70499,0.77024,0.40788,1.50578,0.71569,0.91493,0.0008657,0.0008657,0.0008657
59,3553.22,1.23335,0.59966,0.90872,0.86367,0.6631,0.75397,0.38714,1.53309,0.73023,0.91965,0.0008458,0.0008458,0.0008458
60,3610.11,1.24515,0.63418,0.90837,0.8674,0.6996,0.77076,0.3895,1.54456,0.70723,0.91249,0.0008259,0.0008259,0.0008259
61,3665.03,1.23602,0.60995,0.91257,0.90111,0.68221,0.77273,0.42138,1.43428,0.71368,0.90346,0.000806,0.000806,0.000806
62,3735.78,1.22871,0.60779,0.92425,0.93671,0.62567,0.75096,0.37308,1.51443,0.70202,0.92074,0.0007861,0.0007861,0.0007861
63,3795.25,1.23896,0.6178,0.90893,0.85763,0.66845,0.7628,0.38761,1.46381,0.71605,0.89998,0.0007662,0.0007662,0.0007662
64,3852.55,1.24654,0.61155,0.90334,0.87265,0.65775,0.75269,0.37445,1.57649,0.76434,0.95941,0.0007463,0.0007463,0.0007463
65,3909.36,1.2146,0.59606,0.91753,0.93022,0.64163,0.773,0.38644,1.47347,0.71348,0.90823,0.0007264,0.0007264,0.0007264
66,3968.06,1.22302,0.60755,0.90265,0.88255,0.65241,0.77816,0.39058,1.48354,0.72937,0.90787,0.0007065,0.0007065,0.0007065
67,4028.39,1.21117,0.60839,0.90906,0.84048,0.67623,0.75411,0.3474,1.58749,0.76779,0.93334,0.0006866,0.0006866,0.0006866
68,4087.74,1.21951,0.58934,0.90738,0.8536,0.6738,0.77384,0.38873,1.50427,0.70575,0.92125,0.0006667,0.0006667,0.0006667
